X(m),Y(m),Z(m),Distance_BS_1,RSSI,BER,PER,Throughput(Gbps)
-2,-1.55607e-13,0.399811,22.2038,-72.2784,1.44848e-27,0,0
-1.85276,2.80717e-08,0.400005,22.0579,-74.9004,8.66504e-16,1.5099e-14,0
-1.36076,4.92255e-08,0.4,21.5706,-70.3424,4.26202e-42,0,0
-0.868748,7.04334e-08,0.400006,21.0835,-72.8478,2.22431e-24,0,0
-0.376739,9.16038e-08,0.400003,20.5966,-71.5776,4.22632e-32,0,0
0.117765,1.13048e-07,0.400004,20.1075,-71.3134,5.22912e-34,0,0
0.610777,1.34321e-07,0.400006,19.6202,-75.393,2.94067e-14,5.00155e-13,0
1.10328,1.55612e-07,0.4,19.1336,-64.6922,1.15207e-149,0,0.5
1.59629,1.72848e-07,0.400005,18.6469,-72.1046,1.26809e-28,0,0
2.0883,1.92025e-07,0.400004,18.1615,-68.8868,3.7684e-58,0,0
2.5803,2.11373e-07,0.400003,17.6764,-69.3733,3.52484e-52,0,0
3.07181,2.3058e-07,0.400006,17.1923,-68.8831,3.37088e-58,0,0
3.56432,2.49894e-07,0.400001,16.7075,-70.0059,2.39436e-45,0,0
4.05583,2.68994e-07,0.400005,16.2243,-70.0745,1.1549e-44,0,0
4.54784,2.88179e-07,0.400004,15.741,-70.8504,1.21533e-37,0,0
5.03984,3.07522e-07,0.400002,15.2583,-72.0539,6.11891e-29,0,0
5.53135,3.26715e-07,0.400006,14.7767,-68.1197,4.96627e-69,0,0
6.02336,3.46012e-07,0.400002,14.2953,-66.4424,1.11599e-100,0,0
6.51536,3.65129e-07,0.400005,13.8147,-67.0211,2.33986e-88,0,0
7.00787,3.84355e-07,0.400005,13.3344,-66.157,2.19731e-107,0,0
7.50088,4.03727e-07,0.400001,12.8545,-68.8928,4.50826e-58,0,0
7.99289,4.22949e-07,0.400006,12.3766,-67.4612,5.02549e-80,0,0
8.4854,4.42269e-07,0.400002,11.8994,-65.3209,9.20369e-130,0,0.5
8.9779,4.61412e-07,0.400004,11.4235,-69.2049,3.58884e-54,0,0
9.46991,4.80626e-07,0.400005,10.9496,-64.4687,1.84118e-157,0,0.5
9.96192,4.99932e-07,0.400001,10.4773,-68.4499,4.12673e-64,0,0
10.4539,5.19164e-07,0.400006,10.0069,-66.2289,1.18047e-105,0,0
10.9464,5.38468e-07,0.400003,9.53819,-65.2083,4.05441e-133,0,0.5
11.4384,5.57584e-07,0.400004,9.0725,-71.3974,2.17685e-33,0,0
11.9305,5.76813e-07,0.400006,8.60974,-60.7182,0,0,2.15
12.4225,5.96017e-07,0.4,8.15041,-62.0594,1.13559e-272,0,1.1
12.9145,6.15339e-07,0.400006,7.69512,-60.6244,0,0,2.15
13.406,6.34616e-07,0.400004,7.24508,-67.6427,7.92791e-77,0,0
